,name,esrb,total_rating
166,The Vanishing of Ethan Carter,6,79.39518165
167,The Turing Test,5,73.5914892
168,The Tenth Line,4,70
169,The Technomancer,6,70.86111111
170,The Talos Principle,4,88.73980619
171,The Swords of Ditto,4,61.27777778
172,The Swindle,4,66.6875
173,The Swapper,4,83.21127299
174,The Surge,6,71.45718025
175,The Spectrum Retreat,5,67.5
176,The Solus Project,5,66.86394742
177,The Sims 4,5,73.5006222
178,The Sexy Brutale,5,75.96585156
179,The Raven Remastered,5,56.5
180,The Persistence,6,80
181,The Peanuts Movie: Snoopy's Grand Adventure,3,67.25
182,The Park,6,66.53831072
183,The Order: 1886,6,64.09056525
184,The Mummy: Demastered,4,82
185,The Mooseman,4,70
186,The Metronomicon,4,81
187,The Lost Child,5,81
188,The Long Reach,6,70
189,The Long Dark,5,77.6250908
190,The Little Acre,4,72.05163922
191,The Legend of Korra,5,58.77636115
192,The Legend of Kage,3,67.82658
193,The Legend of Heroes: Trails of Cold Steel,5,85.77777778
194,The Last Guardian,5,83.69149319
195,The King of Fighters XIV,5,79.76470588
196,The Journey Down: Chapter Three,5,87.6635514
197,The Jackbox Party Pack 3,5,83.75796262
198,The Jackbox Party Pack,5,80.49844194
199,The Invisible Hours,5,76.25
200,The Inner World: The Last Wind Monk,3,75
201,The Inner World,3,76.75587686
202,The Incredible Adventures of Van Helsing,1,65.76720605
203,The Huntsman: Winter's Curse,5,61
204,The Golf Club 2019 featuring PGA TOUR,3,59.625
205,The Golf Club 2,3,61.5
206,The Golf Club,3,68.75
207,The Flame in the Flood: Complete Edition,5,80
208,The Flame in the Flood,5,77.18766099
209,The Final Station,5,71.38613142
210,The Fall Part 2: Unbound,5,75
211,The Fall,5,78.59544273
212,The Evil Within 2,6,84.19754737
213,The Evil Within,6,74.14657693
214,The Escapists: The Walking Dead,5,72
215,The Escapists 2,5,77.72222222
216,The Escapists,5,69.59129773
217,The Elder Scrolls V: Skyrim Special Edition,6,85.04180669
218,The Elder Scrolls Online,6,70.73107527
219,The Deadly Tower of Monsters,5,76.16357278
220,The Crew 2,1,62.58253028
221,The Crew,5,64.86497368
222,The Count Lucanor,5,81.66666667
223,The Council - Episode 3: Ripples,6,70
224,The Coma: Recut,5,66.66666667
225,The Bunker,5,63.3228719
226,The Bug Butcher,5,76.3
227,The Brookhaven Experiment,6,65
228,The Bridge,3,70.25723429
229,The Book of Unwritten Tales 2,5,82.52668514
230,The Bit.Trip,3,86
231,The Binding of Isaac: Rebirth,6,91.63519485
232,The Banner Saga 2,5,88.56043848
233,The Banner Saga,5,85.45631212
234,The Awesome Adventures of Captain Spirit,6,80.5438721
235,The Amazing Spider-Man 2,5,53.00873206
236,The Adventure Pals,4,72.7
237,The 25th Ward: The Silver Case,6,66.25
238,Tharsis,6,71.58459143
239,Tetris Ultimate,3,67.68023791
240,Tethered,4,77.5
241,Teslagrad,3,79.28458794
242,Tesla vs Lovecraft,5,75
243,Terraria,5,77.6617172
244,Tennis in the face,4,72.16666667
245,Tennis World Tour,3,35
246,Tembo the Badass Elephant,4,75.5
247,Tekken Tag Tournament,5,79.9683584
248,Tekken 7,5,82.83258976
249,Teenage Mutant Ninja Turtles: Mutants in Manhattan,5,48.11572029
250,Talisman: Digital Edition,4,60
251,Tales of Zestiria,5,73.39114217
252,Tales from the Borderlands,6,87.02424983
253,Tales Of Berseria,5,84.43545921
254,Tachyon Project,3,57.5
255,Table Top Racing: World Tour,3,49.8181333
256,TINY METAL,4,71.33333333
257,TERA,6,71.82920573
258,Sébastien Loeb Rally Evo,3,61.66666667
259,Sylvio,5,56.5
260,Syberia 3,5,49.70422804
261,Sword Coast Legends,5,70.22389061
262,Sword Art Online: Lost Song,5,79.75
263,Sword Art Online: Hollow Realization,5,69.1
264,Sword Art Online Re: Hollow Fragment,5,64.5
265,Surviving Mars,4,71.90981292
266,Surgeon Simulator: Experience Reality,5,45
267,Surgeon Simulator 2013,5,77.68102995
268,Super Stardust Ultra,3,75.8924407
269,Super Rude Bear Resurrection,5,79.25
270,Super Mutant Alien Assault,5,71
271,Super Meat Boy,5,85.7880359
272,Super Hydorah,4,73.33333333
273,Super Daryl Deluxe,5,68.75
274,Super Bomberman R Shiny Edition,4,82
275,Super Bomberman R,4,65.33333333
276,Sundered,5,84.55324708
277,Suicide Guy,5,75
278,Subnautica,4,84.84079009
279,Styx: Shards of Darkness,6,75.15907679
280,Styx: Master of Shadows,5,70.22812897
281,Strike Suit Zero,5,70.58333333
282,Strider,4,75.50709461
283,Strafe,6,66
284,Stories: The Path of Destinies,5,69.76757564
285,Stifled,5,67
286,Steins;Gate 0,6,83.45
287,Steins;Gate,6,88.51832868
288,Steep,5,80.84611389
289,SteamWorld Heist,4,90.31459234
290,SteamWorld Dig 2,4,86.93813388
291,SteamWorld Dig,4,78.65816952
292,State of Mind,6,58.5
293,Stardew Valley,4,89.20512048
294,Star Wars: Racer Revenge,3,75.5
295,Star Wars: Jedi Starfighter,5,76.66666667
296,Star Wars Battlefront II: Elite Trooper Deluxe Edition,5,60
297,Star Wars Battlefront II,5,73.31882533
298,Star Wars Battlefront,5,69.55579378
299,Star Trek: Bridge Crew,4,75.91666667
300,Star Trek Online,5,71.45793214
301,Star Ocean: The Last Hope - 4K & Full HD Remaster,5,65
302,Star Ocean: Integrity and Faithlessness,5,61.0468222
303,Sportsfriends,4,73.71236705
304,Splasher,5,83.5
305,Spheroids,3,56.83333333
306,Spelunky,5,89.16922631
307,Spelunker World,3,64
308,Spellspire,4,72.66666667
309,SpeedRunners,3,68.26200778
310,Space Rift,3,52.5
311,Space Hulk: Deathwing,5,54.94444444
312,Space Dave!,3,73
313,South Park: The Stick of Truth,6,83.70297406
314,South Park: The Fractured But Whole - SteelBook Gold Edition,4,57.5
315,South Park: The Fractured But Whole,6,84.97274117
316,Sound Shapes,3,81.72933833
317,Sonic Mania Plus,3,88.38888889
318,Sonic Mania,3,84.25725722
319,Sonic Forces,4,58.66432442
320,Songbringer,5,66.08333333
321,Song of the Deep,3,71.22336317
322,Soft Body,3,71.4
323,So Many Me,3,75.5
324,Sniper: Ghost Warrior 3,6,60.6556707
325,Sniper Elite III,6,69.99410591
326,Sniper Elite 4,6,71.38940846
327,Snake Pass,3,75.26120692
328,Smoke and Sacrifice,5,70.1
329,Small Radios Big Televisions,3,65.9375
330,Slime-san: Superslime Edition,4,85
331,Slime Rancher,4,74.60617718
332,"Slice, Dice & Rice",6,67
333,Sleeping Dogs: Definitive Edition,6,80.30587613
334,Sleeping Dogs,6,81.35165735
335,Slayaway Camp: Butcher's Cut,6,78
336,Slam Land,4,60
337,Skylar & Plux: Adventure on Clover Island,3,60.19149909
338,Skylanders: Trap Team,4,82.26666667
339,Skylanders: Swap Force,4,83.06107615
340,Skylanders: SuperChargers,4,74
